date,prophet,lstm,rf,gb,ensemble,is_forecast
2018-11-13,2665.417863197901,4314.221819773912,6198.01,6198.01,4219.836691211334,False
2018-11-14,2667.0447362737737,4314.222070376277,6198.01,6198.01,4220.4875156223925,False
2018-11-15,2666.4994667848787,4314.221819773912,6198.01,6198.01,4220.269332646125,False
2018-11-16,2667.487276921153,4314.222070376277,6198.01,6198.01,4220.664531881344,False
2018-11-19,2666.1462203703036,4314.222070376277,6198.01,6198.01,4220.128109261004,False
2018-11-20,2667.1370857566776,4314.221819773912,6198.01,6198.01,4220.524380234845,False
2018-11-21,2667.799025832618,4314.221819773912,6198.01,6198.01,4220.789156265221,False
2018-11-22,2666.1904397483636,4314.222070376277,6198.01,6198.01,4220.145797012228,False
2018-11-23,2666.0328495844497,4314.221569171547,6198.01,6198.01,4220.082610585244,False
2018-11-26,2660.925135427285,4314.222070376277,6198.01,6198.01,4218.039675283797,False
2018-11-27,2660.5967861465037,4314.221819773912,6198.01,6198.01,4217.9082603907755,False
2018-11-28,2659.9320069370615,4314.221819773912,6198.01,6198.01,4217.642348706999,False
2018-11-29,2657.0085044132616,4314.222070376277,6198.01,6198.01,4216.473022878188,False
2018-11-30,2655.5473124659607,4314.222320978641,6198.01,6198.01,4215.888621279976,False
2018-12-03,2646.733746169144,4314.222320978641,6198.01,6198.01,4212.36319476125,False
2018-12-04,2649.58338474967,4314.222070376277,6198.01,6198.01,4213.502975012751,False
2018-12-05,2652.148472038788,4314.222070376277,6198.01,6198.01,4214.529009928398,False
2018-12-06,2652.5116821522925,4314.221569171547,6198.01,6198.01,4214.674143612381,False
2018-12-07,2654.3858801073625,4314.222070376277,6198.01,6198.01,4215.423973155828,False
2018-12-10,2655.8890179429695,4314.222070376277,6198.01,6198.01,4216.025228290071,False
2018-12-11,2657.9489036593977,4314.221819773912,6198.01,6198.01,4216.849107395933,False
2018-12-12,2659.775145589738,4314.221819773912,6198.01,6198.01,4217.579604168069,False
2018-12-13,2659.4454627336427,4314.222070376277,6198.01,6198.01,4217.44780620634,False
2018-12-14,2660.683179202415,4314.222070376277,6198.01,6198.01,4217.942892793849,False
2018-12-17,2660.5878840645464,4314.221819773912,6198.01,6198.01,4217.904699557992,False
2018-12-18,2662.2287698035393,4314.222070376277,6198.01,6198.01,4218.561129034299,False
2018-12-19,2663.6941441040854,4314.221819773912,6198.01,6198.01,4219.147203573808,False
2018-12-20,2663.061930172837,4314.221819773912,6198.01,6198.01,4218.894318001308,False
2018-12-21,2664.063841207997,4314.222070376277,6198.01,6198.01,4219.295157596082,False
2018-12-24,2663.676475933914,4314.222070376277,6198.01,6198.01,4219.140211486449,False
2018-12-25,2665.372859706427,4314.221819773912,6198.01,6198.01,4219.818689814744,False
2018-12-26,2666.9738874233267,4314.222070376277,6198.01,6198.01,4220.459176082214,False
2018-12-27,2666.5572293904884,4314.222070376277,6198.01,6198.01,4220.292512869079,False
2018-12-28,2667.8608146922656,4314.222070376277,6198.01,6198.01,4220.81394698979,False
2018-12-31,2668.8787670476695,4314.221819773912,6198.01,6198.01,4221.221052751242,False
2019-01-01,2671.2110034019142,4314.222070376277,6198.01,6198.01,4222.154022473649,False
2019-01-02,2673.5250219748755,4314.222070376277,6198.01,6198.01,4223.079629902833,False
2019-01-03,2673.888278125467,4314.222070376277,6198.01,6198.01,4223.22493236307,False
2019-01-04,2676.0421771247675,4314.222070376277,6198.01,6198.01,4224.08649196279,False
2019-01-07,2679.918457642721,4314.222070376277,6198.01,6198.01,4225.637004169972,False
2019-01-08,2683.28665752844,4314.222070376277,6198.01,6198.01,4226.984284124259,False
2019-01-09,2686.657815789482,4314.221819773912,6198.01,6198.01,4228.332672247967,False
2019-01-10,2688.0779131061436,4314.221819773912,6198.01,6198.01,4228.900711174631,False
2019-01-11,2691.2958977759026,4314.222070376277,6198.01,6198.01,4230.187980223244,False
2019-01-14,2698.222918444475,4314.222070376277,6198.01,6198.01,4232.958788490673,False
